Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
5896,Portrait of Asensio Julia,56,714,Romanticism,16,20
5900,Portrait of Don Ramon Satue,43,714,Romanticism,16,20
5902,Portrait of Dona Isabel Cabos de Porcel,47,714,Romanticism,16,24
5906,Portrait of Ferdinand VII,56,714,Romanticism,16,20
5908,Portrait of Francisco Bayeu y Subias,50,714,Romanticism,16,20
5910,Portrait of General Antonio Ricardos,50,714,Romanticism,16,20
5912,Portrait of Joaquina Tellez-Giron,50,714,Romanticism,24,16
5914,Portrait of Juan Bautista de Muguiro,50,714,Romanticism,16,20
5926,Portrait of the Marquesa de Santiago,55,714,Romanticism,16,24
5932,Equestrian Portrait of Fernando VII,50,714,Romanticism,24,36
5936,Saint Gregory the Great Pope,50,714,Romanticism,16,24
5940,Sebastian Martinez,35,714,Romanticism,16,24
5948,Senora Sabasa Garcia,46,714,Romanticism,16,20
5952,The Blind Guitarist,50,714,Romanticism,36,29
5958,The Colossus,50,714,Romanticism,24,24
5960,The Countess of Chinchon,50,714,Romanticism,16,24
5962,The Dance of the Manzanares,50,714,Romanticism,24,24
5968,The Duke of Wellington,47,714,Romanticism,19,24
5972,The Family of the Duke of Osuna,50,714,Romanticism,30,46
5978,The Maja and the Cloaked Men,50,714,Romanticism,24,36
5980,The Marquesa de la Solana,40,714,Romanticism,16,24
5982,The Milkmaid of Bordeaux,50,714,Romanticism,20,20
5984,The Nude Maja,47,714,Romanticism,24,12
5986,The Quail Shoot,50,714,Romanticism,29,36
5988,The Seesaw,67,714,Romanticism,32,16
5990,The Second of May,50,714,Romanticism,24,19
5992,The Snow Storm,50,714,Romanticism,24,24
5994,The Stilts,50,714,Romanticism,24,19
5996,The Threshing Floor,50,714,Romanticism,40,20
6000,The Witches Flight,50,714,Romanticism,24,36
6002,Therese Louise de Sureda,46,714,Romanticism,16,24
6004,Third of May,50,714,Romanticism,24,19
6006,"Tiburcio Perez y Cuervo, the Architect",35,714,Romanticism,19,24
6008,Tobias and the Angel,50,714,Romanticism,19,24
6010,Two Boys and a Bulldog,50,714,Romanticism,20,16
6012,A Pole Vaulter,50,714,Romanticism,29,36
6014,Victor Guye,46,714,Romanticism,16,20
6016,Witches Sabbath,46,714,Romanticism,24,36
6018,"A Cowherd at Valhermeil, Auvers-sur-Oise",35,531,Impressionism,36,22
6020,A Creek with Palm Trees,46,531,Impressionism,24,19
6022,A Washerwoman at Éragny,35,531,Impressionism,16,20
6024,"Afternoon Sunshine, Pont Neuf",67,531,Impressionism,36,29
6030,"Apple Tree in the Meadow, Éragny",67,531,Impressionism,20,16
6034,Avenue de l'Opéra: Morning Sunshine,67,531,Impressionism,32,26
6036,"Avenue de l'Opéra, Snow Effect",31,531,Impressionism,20,16
6042,Barges at Pontoise,35,531,Impressionism,24,19
6044,Bather in the Woods,35,531,Impressionism,29,24
6046,"Boulevard des Italiens, Morning, Sunlight",46,531,Impressionism,20,16
6050,"Boulevard Montmartre, Afternoon Sunlight",34,531,Impressionism,20,16
6054,"Boulevard Montmartre, Night Effect",47,531,Impressionism,20,16
6058,"Boulevard Montmartre, Winter Morning",35,531,Impressionism,32,26
6060,"Road, Winter Sun and Snow",56,531,Impressionism,20,16
6062,"Charing Cross Bridge, London",46,531,Impressionism,24,16
6068,"CÃ´te des Grouettes, Near Pontoise",35,531,Impressionism,24,29
6078,"Fair on a Sunny Afternoon, Dieppe",67,531,Impressionism,36,29
6086,"Fox Hill, Upper Norwood",46,531,Impressionism,20,16
6092,"Haystacks, Morning, Éragny",35,531,Impressionism,32,25
6094,Hoar Frost,49,531,Impressionism,24,16
6096,Landscape at Louveciennes in Autumn,55,531,Impressionism,24,19
6098,"Jalais Hill, Pontoise",35,531,Impressionism,45,34
6104,June Morning at Pontoise,46,531,Impressionism,24,16
6112,The French Theater Square,60,531,Impressionism,24,19
6118,"The Harvest, Pontoise (La Récolte, Pontoise)",35,531,Impressionism,20,16
6128,Landscape from Pontoise,46,531,Impressionism,16,20
6132,Landscape (Orchard),67,531,Impressionism,16,20
6138,"The Park of Charette, Pontoise",46,531,Impressionism,16,20
6140,"The Railway Bridge, Pontoise",46,531,Impressionism,20,16
6158,L'Hermitage a Pontoise,46,531,Impressionism,24,16
6168,"Morning, an Overcast Day, Rouen",35,531,Impressionism,24,19
6170,Morning Sun in the Saint-Honore Street,46,531,Impressionism,19,24
6178,Open Fields with Haystacks Near Pontoise,46,531,Impressionism,24,16
6180,"Orchard in Bloom, Louveciennes",46,531,Impressionism,24,19
6190,Peasant Girl with a Straw Hat,46,531,Impressionism,19,24
6192,Peasant House at Éragny,60,531,Impressionism,24,19
6200,"Carrousel Square, Paris",46,531,Impressionism,24,19
6210,"Poplars, Éragny",35,531,Impressionism,26,37
6214,Poultry Market at Gisors,42,531,Impressionism,32,32
6216,"Quai Napoléon, Rouen",67,531,Impressionism,20,16
6220,"Red Roofs, a Corner of the Village in Winter",49,531,Impressionism,20,16
6224,"The Effect of Fog, Rouen",67,531,Impressionism,20,16
6228,"Street of L'Epicerie, Rouen, Effect of Sunlight",35,531,Impressionism,26,32
6230,"Street of L'Hermitage, Pontoise",46,531,Impressionism,16,20
6232,"Street of L'Hermitage, Pontoise",46,531,Impressionism,20,16
6234,"Street of L'Hermitage, Pontoise",46,531,Impressionism,20,16
6246,Snowy Landscape at South Norwood,60,531,Impressionism,24,19
6248,Steamboats in the Port of Rouen,35,531,Impressionism,20,16
6252,Still Life with Apples and Pitcher,35,531,Impressionism,20,16
6254,"Summer Landscape, Éragny",67,531,Impressionism,20,16
6256,"Sunlight on the Road, Pontoise",42,531,Impressionism,24,16
6260,The Artist's Garden at Éragny,46,531,Impressionism,24,19
6262,"The Avenue, Sydenham",47,531,Impressionism,24,16
6268,The Bather,46,531,Impressionism,16,20
6270,"The Cabbage Field, Pontoise",56,531,Impressionism,20,16
6274,"The CÃ´te des Boeufs at L'Hermitage, Near Pontoise",47,531,Impressionism,16,20
6278,The Fence,46,531,Impressionism,24,19
6282,The Garden at Éragny,56,531,Impressionism,20,16
6288,The Garden of the Tuileries on a Spring Morning,35,531,Impressionism,36,29
6292,The Garden of the Tuileries on a Winter Afternoon,35,531,Impressionism,36,29
6294,"The Gardener, Old Peasant with Cabbage",46,531,Impressionism,16,20
6300,"The Harvest, Pontoise",35,531,Impressionism,20,16
6304,The Hermitage at Pontoise,61,531,Impressionism,20,16
6312,The Louvre Under Snow,46,531,Impressionism,24,19
6320,"The Path to Les Pouilleux, Pontoise",60,531,Impressionism,19,24
6324,The Public Garden at Pontoise,35,531,Impressionism,29,24
6334,"The Shepherdess, Young Peasant Girl with a Stick",49,531,Impressionism,16,20
6336,The Village of Knokke,46,531,Impressionism,20,16
6338,The Woods at Marly,56,531,Impressionism,20,16
6340,"Two Women Chatting by the Sea, St. Thomas",46,531,Impressionism,24,16
6342,Two Young Peasant Women,35,531,Impressionism,46,35
6350,"Vegetable Garden, Overcast Morning, Éragny",67,531,Impressionism,32,26
6354,View from Louveciennes,46,531,Impressionism,20,13
6358,View from the Harbour in Dieppe,46,531,Impressionism,20,16
6360,"View of the CÃ´te Des Gratte-Coqs, Pontoise",46,531,Impressionism,24,16
6368,Washerwoman,35,531,Impressionism,16,20
6372,Woman Washing Her Feet in a Brook,46,531,Impressionism,20,16
6386,Angel Standing in a Storm,62,898,Neo-Classicism,30,30
6392,"Bridge of Sighs, Ducal Palace and Custom House",62,898,Neo-Classicism,36,24
6396,Calais Pier,47,898,Neo-Classicism,30,20
6398,Caligula's Palace and Bridge,62,898,Neo-Classicism,24,16
6404,Death on a Pale Horse,62,898,Neo-Classicism,30,24
6406,Dido Building Carthage,47,898,Neo-Classicism,24,16
6408,Disaster at Sea,62,898,Neo-Classicism,30,24
6418,Fishing Boats with Hucksters Bargaining for Fish,68,898,Neo-Classicism,30,24
6420,"Fishing Upon the Blythe-Sand, Tide Setting In",62,898,Neo-Classicism,30,24
6426,"Forum Romanum, For Mr. Soane's Museum",62,898,Neo-Classicism,36,24
6430,Going to the Ball (San Martino),62,898,Neo-Classicism,36,24
6436,Heidelberger,62,898,Neo-Classicism,36,24
6440,Italian Landscape with Bridge and Tower,62,898,Neo-Classicism,20,13
6442,Keelmen Heaving in Coals by Night,46,898,Neo-Classicism,24,19
6452,Landscape with Water,62,898,Neo-Classicism,36,24
6460,"Long Ship's Lighthouse, Land's End",47,898,Neo-Classicism,36,24
6462,"Margate, From the Sea",47,898,Neo-Classicism,24,19
6464,"Modern Rome, Campo Vaccino",55,898,Neo-Classicism,30,24
6466,Odysseus Deriding Polyphemus,47,898,Neo-Classicism,30,20
6472,"Peace, Burial at Sea",62,898,Neo-Classicism,30,30
6480,"Rain, Steam and Speed, the Great Western Railway",47,898,Neo-Classicism,30,24
6492,Self-Portrait,62,898,Neo-Classicism,24,30
6504,Sun Rising Through Vapour,47,898,Neo-Classicism,24,16
6506,Sunrise with Sea Monsters,62,898,Neo-Classicism,36,29
6508,"The Battle of Trafalgar, 21 October 1805",41,898,Neo-Classicism,36,24
6510,"The Bay of Baiae, with Apollo and the Sibyl",62,898,Neo-Classicism,36,24
6514,The Burning of the House of Lords and Commons,67,898,Neo-Classicism,36,29
6520,The Evening Star,47,898,Neo-Classicism,30,24
6522,The Fighting Temeraire,47,898,Neo-Classicism,48,36
6526,"The Grand Canal, Venice",35,898,Neo-Classicism,24,19
6530,The Parting of Hero and Leander,47,898,Neo-Classicism,24,16
6532,"The Ponte Delle Torri, Spoleto",62,898,Neo-Classicism,36,29
6540,The Sun of Venice Going to Sea,62,898,Neo-Classicism,36,24
6542,The Thames Above Waterloo Bridge,62,898,Neo-Classicism,36,24
6548,"Tivoli, The Cascatelle",62,898,Neo-Classicism,36,29
6558,"Venice, The Bridge of Sighs",62,898,Neo-Classicism,24,16
6560,"Venice, The Dogana and San Giorgio Maggiore",46,898,Neo-Classicism,36,29
6562,Venice with the Salute,62,898,Neo-Classicism,36,24
6566,View of Richmond Hill and Bridge,62,898,Neo-Classicism,36,29
6711,"Saint-Mammès, Loing Canal",53,573,Impressionism,24,19
6727,Boat in the Flood at Port Marly,49,573,Impressionism,24,19
6733,Machine Path,49,573,Impressionism,20,16
6735,Farmyard in Saint-Mammès,49,573,Impressionism,20,16
6743,Flood at Port-Marly,56,573,Impressionism,20,16
6747,"Foggy Morning, Voisins",49,573,Impressionism,24,19
6749,Footbridge at Argenteuil,49,573,Impressionism,24,16
6771,Landscape (Spring at Bougival),67,573,Impressionism,24,16
6781,The Moret Bridge,49,573,Impressionism,20,16
6783,The Moret Bridge,49,573,Impressionism,20,16
6785,"The Tugboat Sur Le Long, Saint-Mammès",49,573,Impressionism,20,16
6787,The Regattas at Molesey,49,573,Impressionism,24,16
6789,The Flood at Port-Marly,49,573,Impressionism,24,16
6793,Meadow,46,573,Impressionism,20,16
6813,"Rest Along the Stream, Edge of the Wood",49,573,Impressionism,24,24
6819,Street Eugene Moussoir at Moret Winter,35,573,Impressionism,20,16
6821,Sahurs Meadows in Morning Sun,35,573,Impressionism,20,16
6831,Small Meadows in Spring,62,573,Impressionism,24,16
6835,Snow at Louveciennes,49,573,Impressionism,16,20
6837,Snow Effect at Louveciennes,49,573,Impressionism,20,16
6841,Snow Weather in Veneux-Nadon,49,573,Impressionism,20,16
6843,The Banks of the Oise,46,573,Impressionism,20,16
6845,The Banks of the River at Saint-Mammès,34,573,Impressionism,20,16
6847,"The Bark During the Flood, Port Marly",49,573,Impressionism,20,16
6849,The Bridge at Villeneuve-la-Garenne,35,573,Impressionism,24,19
6851,The Canal at Saint-Mammès,67,573,Impressionism,29,22
6863,The Loing's Canal,49,573,Impressionism,20,16
6871,The Road from Versailles to Louveciennes,35,573,Impressionism,20,16
6873,The Road from Versailles to Saint-Germain,55,573,Impressionism,24,19
6877,A Corner of Wood in the Sablons,49,573,Impressionism,20,16
6883,View of Marly-le-Roi from Coeur-Volant,35,573,Impressionism,24,16
6889,Neighbors Village,49,573,Impressionism,20,16
6891,Village on the Banks of the Seine,34,573,Impressionism,24,16
6893,A Reclining Nude,36,831,Expressionism,20,16
6895,"Adrienne, Woman with Bangs",46,831,Expressionism,16,24
6909,Boy in a Striped Sweater,35,831,Expressionism,16,24
6913,Bride and Groom (The Newlyweds),30,831,Expressionism,16,20
6915,Café Singer,46,831,Expressionism,16,24
6917,Chaim Soutine,46,831,Expressionism,16,24
6925,Flower Vendor,35,831,Expressionism,16,24
6927,Boy in the Blue Jacket,61,831,Expressionism,16,24
6929,Girl in a Green Blouse,46,831,Expressionism,16,24
6931,Girl with Polka-Dot Blouse,51,831,Expressionism,16,24
6933,Gypsy Woman with Baby (Jacques Villon),46,831,Expressionism,16,23
6935,Jacques and Berthe Lipchitz,68,831,Expressionism,16,24
6937,Jeanne Hebuterne,61,831,Expressionism,29,36
6955,Young Farmer,62,831,Expressionism,16,24
6961,Leon Bakst,46,831,Expressionism,16,24
6963,Lola from Valencia,35,831,Expressionism,16,24
6965,Lunia Czechowska,46,831,Expressionism,16,24
6967,Madame Amedee (Woman with Cigarette),46,831,Expressionism,16,24
6969,Madame Kisling,46,831,Expressionism,13,20
6973,Madame Pompadour,68,831,Expressionism,16,20
6983,Monsieur Deleu,46,831,Expressionism,16,24
6991,Nude on a Divan,46,831,Expressionism,24,16
7001,Portrait of a Polish Woman,67,831,Expressionism,16,24
7003,Portrait of a Woman,53,831,Expressionism,16,24
7015,Portrait of Beatrice Hastings,51,831,Expressionism,13,20
7037,Portrait of Jeanne Hebuterne in Profile,51,831,Expressionism,16,24
7039,Portrait of Jeanne Hebuterne in Yellow Sweater,61,831,Expressionism,16,24
7041,"Portrait of Jeanne Hebuterne, Left Arm Behind Head",51,831,Expressionism,16,24
7045,Portrait of Juan Gris,35,831,Expressionism,15,22
7047,Portrait of Leopold Zborowski,46,831,Expressionism,16,24
7071,Reclining Nude,35,831,Expressionism,24,16
7073,Reclining Nude from the Back,51,831,Expressionism,24,16
7095,The Grand Nude,30,831,Expressionism,24,16
7097,The Italian Woman,35,831,Expressionism,16,24
7105,Woman with Red Hair,46,831,Expressionism,16,24
7113,A King Charles Spaniel,46,650,Impressionism,19,24
7115,A Matador,35,650,Impressionism,16,24
7129,Before the Mirror,61,650,Impressionism,16,20
7133,Boating,35,650,Impressionism,24,16
7135,Boy Blowing Bubbles,46,650,Impressionism,16,20
7139,Boy with a Sword,35,650,Impressionism,16,24
7141,Bullfight,49,650,Impressionism,20,16
7145,Corner in a Café Concert,47,650,Impressionism,19,24
7147,Fishing,35,650,Impressionism,36,24
7149,Flowers in a Crystal Vase,46,650,Impressionism,16,20
7151,"From the World Exhibition, Paris 1867",46,650,Impressionism,24,12
7153,George Moore in the Artist's Garden,46,650,Impressionism,16,20
7157,Head of Jean-Baptiste Faure,35,650,Impressionism,16,20
7163,Jean-Baptiste Faure,35,650,Impressionism,16,20
7165,"Jeanne, Spring",55,650,Impressionism,20,29
7167,Jesus Mocked by the Soldiers,68,650,Impressionism,19,24
7169,La Bon Bock,67,650,Impressionism,24,30
7181,Luncheon on the Grass,49,650,Impressionism,24,19
7183,Madame Manet at Bellevue,35,650,Impressionism,16,20
7185,Mademoiselle Isabelle Lemonnier,35,650,Impressionism,16,20
7189,Marine View,67,650,Impressionism,20,16
7191,Masked Ball at the Opera,46,650,Impressionism,36,29
7197,Music in the Tuileries Gardens,47,650,Impressionism,24,16
7201,Olympia,49,650,Impressionism,24,16
7203,On the Beach,49,650,Impressionism,20,16
7205,Oysters,46,650,Impressionism,20,16
7207,Peonies,35,650,Impressionism,16,24
7209,"Philibert Rouviere as Hamlet, The Tragic Actor",46,650,Impressionism,16,24
7211,Plum Brandy,46,650,Impressionism,16,24
7219,Portrait of Eva Gonzales,47,650,Impressionism,16,24
7221,Portrait of Isabelle Lemonnier,67,650,Impressionism,20,16
7223,Portrait of Madame Brunet,55,650,Impressionism,16,20
7231,Portrait of Stephane Mallarme,49,650,Impressionism,24,18
7237,Races at Longchamp,68,650,Impressionism,32,16
7245,Self-Portrait with Palette,46,650,Impressionism,16,20
7249,Still Life with Melon and Peaches,46,650,Impressionism,20,16
7257,The Amazon Horsewoman,56,650,Impressionism,16,24
7259,The Balcony,49,650,Impressionism,16,24
7265,The Brioche,35,650,Impressionism,20,16
7271,The Dead Bullfighter,46,650,Impressionism,24,16
7273,The Dead Christ with Angels,35,650,Impressionism,19,24
7277,The Fifer,49,650,Impressionism,16,24
7279,"The Folkestone Boat, Boulogne",67,650,Impressionism,36,29
7281,The Funeral,35,650,Impressionism,20,16
7293,The Kearsarge at Boulogne,35,650,Impressionism,20,16
7295,The Monet Family in their Garden at Argenteuil,35,650,Impressionism,24,16
7297,The Old Musician,46,650,Impressionism,24,19
7301,The Railroad (The Railway),46,650,Impressionism,30,24
7303,The Rue Mosnier with Flags,55,650,Impressionism,20,16
7311,The Spanish Singer,35,650,Impressionism,19,24
7317,The Waitress Beer Serving Girl,49,650,Impressionism,16,20
7323,Woman in a Tub,49,650,Impressionism,16,20
7327,Woman with Fans,49,650,Impressionism,20,13
7331,Young Lady in 1866,35,650,Impressionism,16,24
7333,Young Man in the Costume of a Majo,35,650,Impressionism,16,24
7337,Young Woman in a Round Hat,46,650,Impressionism,16,20
7341,Abigail Smith Adams (Mrs. John Adams),46,856,,19,24
7343,Albert Gallatin,35,856,,19,24
7345,Ann Barry,46,856,,19,24
7351,Benjamin Tappan,46,856,,19,24
7355,Benjamin West,47,856,,24,30
7357,Captain John Gell,35,856,,24,36
7359,Captain Joseph Anthony,46,856,,19,24
7361,Captain Sir William Abdy,41,856,,24,30
7365,Catherine Yates Pollock (Mrs. George Pollock),46,856,,24,30
7367,Charles Lee (Gentleman of the Lee Family),35,856,,24,30
7369,Charlotte Morton Dexter (Mrs. Andrew Dexter),46,856,,24,30
7371,Commodore Thomas Macdonough,46,856,,24,30
7373,"David Sears, Jr.",35,856,,24,30
7379,Edward Stow,46,856,,24,30
7381,Eleanor Parke Custis Lewis (Mrs. Lawrence Lewis),46,856,,24,30
7385,George Pollock,46,856,,24,30
7387,George Washington,46,856,,24,30
7395,George Washington,35,856,,19,24
7401,George Washington,35,856,,24,30
7409,George Washington (The Landsdowne Portrait),46,856,,20,30
7411,George Washington (The Vaughan Portrait),35,856,,19,24
7413,Henry Rice,35,856,,24,30
7415,Henrietta Marchant Liston (Mrs. Robert Liston),46,856,,16,20
7417,Henry Cruger,46,856,,24,30
7419,Henry Dearborn,68,856,,24,30
7425,Horatio Gates,35,856,,19,24
7427,James Madison,46,856,,19,24
7433,James Monroe,35,856,,19,24
7435,James Monroe,46,856,,24,30
7437,John Adams,46,856,,19,24
7439,John Adams,46,856,,24,30
7443,John Ashe,46,856,,24,30
7453,John Jay,46,856,,24,30
7457,John Randolph,46,856,,19,24
7459,John Shaw,35,856,,19,24
7465,Josef de Jaudenes y Nebot,35,856,,19,24
7467,Joseph Anthony Jr.,35,856,,19,24
7469,Joseph Coolidge,46,856,,19,24
7471,Lawrence Reid Yates,46,856,,19,24
7473,"Louis-Marie, Vicomte de Noailles",35,856,,24,30
7479,Mary Barry,46,856,,24,30
7481,Matilda Stoughton de Jaudenes,35,856,,24,30
7483,Matthew Clarkson,35,856,,24,30
7491,Portrait of Anne Willing Bingham,67,856,,24,30
7493,"Portrait of David Montague, 2nd Baron Erskine",67,856,,24,30
7503,Portrait of Richard Barrington,60,856,,24,30
7507,Richard Yates,46,856,,19,24
7509,Robert Liston,46,856,,19,24
7511,Samuel Alleyne Otis,46,856,,24,30
7515,Sarah Homes Tappan (Mrs. Benjamin Tappan),46,856,,24,30
7519,Sir Joshua Reynolds,46,856,,19,24
7521,Stephen Van Rensselaer III,46,856,,19,24
7527,Vice-Admiral Edward Hughes,41,856,,19,24
7533,William Eustis,35,856,,24,30
7535,William Thornton,46,856,,19,24
7537,"A Montrouge, Rosa La Rouge",51,853,Impressionism,16,24
7539,Albert (René) Grenier,35,853,Impressionism,16,20
7541,Alone (Seule),49,853,Impressionism,20,16
7545,At the Moulin de la Galette,68,853,Impressionism,32,26
7547,At the Moulin Rouge,68,853,Impressionism,56,48
7549,"At the Moulin Rouge, The Clowness Chau-U-Keo",49,853,Impressionism,26,32
7553,Carriage,67,853,Impressionism,16,24
7557,Emilie,35,853,Impressionism,16,20
7559,Follette,67,853,Impressionism,16,32
7567,Justine Dieuhl,49,853,Impressionism,16,20
7585,Nude Standing Before a Mirror,35,853,Impressionism,16,20
7587,Portrait of Vincent Van Gogh,43,853,Impressionism,16,20
7591,Rue des Moulins: the Medical Inspection,46,853,Impressionism,16,24
7593,Scenes from Messaline at the Bordeaux Opera,60,853,Impressionism,16,24
7595,The Actor Henry Samary,49,853,Impressionism,16,24
7599,The Clowness Chau-U-Keo Fastening Her Bodice,49,853,Impressionism,16,24
7601,The Couch (The Sofa),35,853,Impressionism,32,26
7603,The Dance at the Moulin Rouge,67,853,Impressionism,32,26
7609,The Model Resting,55,853,Impressionism,19,24
7613,The Streetwalker,35,853,Impressionism,16,20
7615,The Toilette,49,853,Impressionism,16,24
7621,Woman in the Garden of Monsieur Forest,35,853,Impressionism,16,20
7623,Woman Seated in a Garden,47,853,Impressionism,16,20
7625,Woman with Gloves,49,853,Impressionism,16,20
7635,American Shipping off the Rock of Gibraltar,41,633,,30,24
7637,Arrival of Peter the First to Neva,34,633,,36,24
7641,Battle in Hiosskiy Strait,34,633,,30,30
7643,Battle of Navarino,41,633,,36,24
7645,Battle of Steamer Vesta,34,633,,30,24
7651,Brig Mercury Being Attacked by Two Turkish Ships,34,633,,36,24
7657,Capture of Messina,34,633,,30,24
7659,Carts in Steppe,34,633,,36,24
7661,Chernomorskiy Fleet in Feodosiya,34,633,,48,24
7663,Chesmenskiy Battle,34,633,,30,30
7665,Chumaks During the Rest,34,633,,36,24
7671,Constantinovich Ship in the Stormy Sea,34,633,,24,36
7673,Constantinovich the Ninth Wave,34,633,,20,13
7679,Kerch,34,633,,36,24
7681,Landing Party of Raevskiy,34,633,,36,24
7687,Parade of Chernomorskiy Fleet,34,633,,24,16
7689,Rainbow,34,633,,30,24
7691,Russian Squadron,34,633,,36,24
7693,Sea Battle Near Navarino,34,633,,36,24
7695,Sea Battle Near Vyborg,34,633,,36,24
7699,Sinopskiy Battle,34,633,,36,24
7719,The Russian Squadron on the Sebastopol Roads,41,633,,30,24
7725,Vessels in a Swell at Sunset,41,633,,30,24
7729,View of the Big Cascade in Petergof,34,633,,36,24
7733,A Basket of Peaches,40,699,Rococo,24,20
7735,A Bowl of Plums,46,699,Rococo,24,19
7737,A Lean Diet with Cooking Utensils,53,699,Rococo,24,20
7741,Boy Building a House of Cards,46,699,Rococo,24,19
7747,"Fruit, Jug and a Glass",46,699,Rococo,24,19
7755,Self-Portrait with a Visor,68,699,Rococo,16,20
7759,Soap Bubbles,35,699,Rococo,24,24
7761,Soap Bubbles,46,699,Rococo,16,20
7763,Still Life with a Hare,67,699,Rococo,24,19
7765,Still Life with a White Mug,46,699,Rococo,20,16
7767,Still Life with Attributes of the Arts,31,699,Rococo,20,10
7769,"Still Life with Bottle, Glass and Loaf",47,699,Rococo,20,16
7785,Still Life with Pipe,40,699,Rococo,24,20
7791,The Attributes of the Arts and the Rewards,35,699,Rococo,20,16
7799,The House of Cards,46,699,Rococo,19,24
7801,The House of Cards,46,699,Rococo,24,19
7803,The Laundress,51,699,Rococo,24,19
7805,The Scullery Maid,46,699,Rococo,19,24
7807,The Sideboard,40,699,Rococo,20,30
7811,The Skate,40,699,Rococo,24,20
7813,The Teacher,46,699,Rococo,24,24
7839,An Allegory (Vision of a Knight),47,558,Renaissance,24,24
7865,Portrait of a Young Man,47,558,Renaissance,19,24
7869,Portrait of Bindo Altoviti,46,558,Renaissance,20,30
7877,Portrait of Pope Julius II,47,558,Renaissance,19,24
7879,Saint Catherine of Alexandria,47,558,Renaissance,19,24
7881,Saint John the Baptist Preaching,47,558,Renaissance,30,15
7893,The Garvagh Madonna,47,558,Renaissance,19,24
7897,The Madonna of the Pinks,47,558,Renaissance,19,24
7919,Grand Canyon of the Colorado River,67,538,American Landscape,36,24
7925,"Green River Cliffs, Wyoming",46,538,American Landscape,48,24
7927,Hot Springs of the Yellowstone,60,538,American Landscape,24,16
7929,Lake Como,35,538,American Landscape,29,36
7949,"Sunset Near Land's End, Cornwall, England",56,538,American Landscape,36,24
7955,"The Juniata, Evening",46,538,American Landscape,36,24
7959,The Teton Range,35,538,American Landscape,36,24
7977,A Basket of Clams,35,794,American Art,16,20
7983,A Huntsman and Dogs,67,794,American Art,24,16
7987,A Summer Night,49,794,American Art,20,16
7989,"A Temperance Meeting, Noon Time",67,794,American Art,24,16
7995,Apple Picking,68,794,American Art,20,16
7999,Autumn,46,794,American Art,16,24
8001,Beach Scene,56,794,American Art,16,20
8003,Berry Pickers,46,794,American Art,24,16
8005,Blackboard,46,794,American Art,16,24
8009,Boys in a Dory,35,794,American Art,24,16
8011,Boys in a Pasture,30,794,American Art,24,16
8013,Boys Wading,46,794,American Art,24,16
8015,Breezing Up A Fair Wind,46,794,American Art,24,16
8019,Cannon Rock,35,794,American Art,20,20
8021,Children on the Beach,56,794,American Art,24,19
8027,Croquet Scene,68,794,American Art,20,13
8031,Dad's Coming!,46,794,American Art,24,16
8033,Danger,46,794,American Art,24,16
8035,Daughter of the Coast Guard,56,794,American Art,20,20
8037,"Eagle Head, Manchester, Massachusetts, High Tide",35,794,American Art,24,16
8039,"Early Morning, After a Storm at Sea",53,794,American Art,24,16
8041,"East Hampton Beach, Long Island",46,794,American Art,24,12
8059,Fresh Eggs,46,794,American Art,16,20
8071,Girl with Hay Rake,46,794,American Art,20,16
8083,Hauling in the Nets,46,794,American Art,24,16
8089,"High Cliff, Coast of Maine",46,794,American Art,20,16
8091,Home Sweet Home,46,794,American Art,19,24
8101,"Incoming Tide, Scarboro, Maine",46,794,American Art,24,16
8103,Inside the Bar,35,794,American Art,24,16
8109,Maine Coast,35,794,American Art,24,16
8113,"Moonlight, Wood Island Light",35,794,American Art,20,16
8119,Northeaster,35,794,American Art,24,16
8133,On the Trail,46,794,American Art,24,16
8135,Orange Trees and Gate,46,794,American Art,24,16
8137,Peach Blossoms,68,794,American Art,24,16
8147,Prisoners from the Front,35,794,American Art,36,24
8149,Rainy Day in Camp,35,794,American Art,24,16
8153,Right and Left,46,794,American Art,24,16
8159,Rustic Courtship,46,794,American Art,24,16
8165,School Time,46,794,American Art,24,16
8167,"Searchlight on Harbor Entrance, Santiago de Cuba",35,794,American Art,24,16
8171,"Shooting the Rapids, Saguenay River",35,794,American Art,24,16
8175,Snap the Whip,35,794,American Art,24,16
8177,Sparrow Hall,46,794,American Art,30,20
8185,Sunset,46,794,American Art,24,16
8203,Dressing for the Carnival,35,794,American Art,24,16
8207,The Cotton Pickers,60,794,American Art,30,20
8213,"The Dinner Horn, Blowing the Horn at Seaside",46,794,American Art,16,24
8215,The Flirt,46,794,American Art,24,16
8221,The Gulf Stream,35,794,American Art,24,16
8223,The Herring Net,68,794,American Art,24,16
8227,The Life Line,67,794,American Art,24,16
8231,The Milk Maid,46,794,American Art,16,24
8239,The Red School House,46,794,American Art,16,24
8247,The Sick Chicken,46,794,American Art,16,20
8249,The Signal of Distress,56,794,American Art,24,16
8251,The Studio,35,794,American Art,19,24
8257,The Veteran in a New Field,35,794,American Art,24,16
8275,Warm Afternoon (Shepherdess),46,794,American Art,20,16
8277,Waverly Oaks,56,794,American Art,16,24
